area,site_name,elevational_band_m,latitude_start_n,longitude_start_e,elevation_start_m,latitude_end_n,longitude_end_e,elevation_end_m,transect_length_m
Besan,BES02,1100,42.53949,1.27206,1150.0,42.53943,1.27327,1140.0,100.0
Besan,BES01,1200,42.54143,1.27595,1289.0,42.54139,1.27676,1283.0,100.0
Bordes de Viros,BOR02,1100,42.53069,1.2776,1990.0,42.53108,1.27843,1980.0,100.0
La Molinassa,MOL09,1800,42.61837,1.39184,1883.0,42.61906,1.39137,1886.0,90.0
La Molinassa,MOL08,1900,42.61728,1.39471,1924.0,42.61789,1.39386,1912.0,100.0
La Molinassa,MOL06,2000,42.61638,1.40176,2062.0,42.61717,1.40116,2069.0,100.0
La Molinassa,MOL05,2100,42.61698,1.40686,2172.0,42.61742,1.40592,2169.0,90.0
La Molinassa,MOL04,2200,42.61689,1.41075,2267.0,42.61753,1.41005,2273.0,100.0
La Molinassa,MOL03,2300,42.61671,1.4163,2347.0,42.61695,1.41517,2338.0,100.0
La Molinassa,MOL02,2400,42.61786,1.42515,2466.0,42.61757,1.42411,2462.0,100.0
La Molinassa,MOL01,2500,42.61778,1.42841,2512.0,42.6186,1.42802,2497.0,100.0
Tavascan,TAV08,1500,42.68443,1.24597,1576.0,42.68407,1.24527,1579.0,100.0
Tavascan,TAV09,1600,42.68602,1.24707,1618.0,42.6857,1.24625,1617.0,100.0
Tavascan,TAV07,1800,42.707,1.23728,1885.0,42.70767,1.23823,1886.0,100.0
Tavascan,TAV06,1900,42.70792,1.23923,1970.0,42.70717,1.2397,1970.0,100.0
Tavascan,TAV05,2000,42.71665,1.23928,2043.0,42.71587,1.23937,2045.0,100.0
Tavascan,TAV03,2100,42.72105,1.24153,2160.0,42.72047,1.24177,2164.0,100.0
Tavascan,TAV01,2200,42.72281,1.24271,2216.0,42.7233,1.24182,2231.0,90.0
Tor,TOR10,1200,42.55245,1.33825,1210.0,42.55473,1.33886,1211.0,100.0
Tor,TOR01,1500,42.5718,1.3793,1553.0,42.5717,1.380417,1564.0,100.0
Tor,TOR02,1600,42.571133,1.388733,1609.0,42.57137,1.38985,1610.0,100.0
Tor,TOR09,1700,42.56696,1.40192,1758.0,42.5677,1.40199,1762.0,100.0
Tor,TOR08,1800,42.56646,1.41163,1897.0,42.56656,1.41053,1892.0,100.0
Tor,TOR07,1900,42.56377,1.41434,1940.0,42.56437,1.4143,1925.0,100.0
Tor,TOR06,2000,42.55528,1.41479,2120.0,42.56404,1.41457,2125.0,95.0
Tor,TOR05,2100,42.55501,1.41735,2187.0,42.55583,1.41747,2199.0,100.0
Tor,TOR04,2200,42.55121,1.41622,2260.0,42.55175,1.41812,2260.0,100.0
Tor,TOR03,2300,42.54555,1.4192,2321.0,42.54586,1.41798,2320.0,100.0
