site_name,date_cest,start_time_cest,end_time_cest,method,method_repeat,cloud_coverage_start,wind_start,rain_start,cloud_coverage_end,wind_end,rain_end
BES01,2021-07-02,10:05:00,10:25:00,Net,1,0,0,0,0,0,0
BES01,2021-07-20,09:00:00,09:05:00,Net,1,0,0,0,0,0,0
BES01,2021-07-20,09:09:00,09:19:00,Hand,1,0,0,0,0,0,0
BES01,2021-09-14,09:01:00,09:05:00,Net,1,7,0,0,7,0,0
BES01,2021-09-14,09:07:00,09:14:00,Hand,1,7,0,0,7,0,0
BES01,2021-10-04,10:12:00,10:16:00,Net,1,8,0,0,8,0,0
BES01,2021-10-04,10:17:00,10:24:00,Hand,1,8,0,0,8,0,0
BES02,2021-07-02,11:05:00,11:12:00,Net,1,0,0,0,0,0,0
BES02,2021-07-20,09:39:00,09:42:00,Net,1,0,0,0,0,0,0
BES02,2021-07-20,09:46:00,09:50:00,Hand,1,0,0,0,0,0,0
BES02,2021-09-14,09:44:00,09:47:00,Net,1,6,0,0,6,0,0
BES02,2021-09-14,09:50:00,09:53:00,Hand,1,6,0,0,6,0,0
BES02,2021-10-04,11:04:00,11:07:00,Net,1,4,0,0,4,0,0
BES02,2021-10-04,11:08:00,11:12:00,Hand,1,3,0,0,3,0,0
BOR02,2021-06-29,17:34:00,17:59:00,Net,1,0,2,0,0,2,0
BOR02,2021-09-14,11:15:00,11:20:00,Net,1,4,0,0,4,0,0
BOR02,2021-09-14,11:20:00,11:28:00,Hand,1,3,0,0,3,0,0
BOR02,2021-10-04,12:24:00,12:28:00,Net,1,2,2,0,2,2,0
BOR02,2021-10-04,12:29:00,12:33:00,Hand,1,3,0,0,3,0,0
MOL01,2021-07-03,10:59:00,11:04:00,Net,1,6,5,0,6,5,0
MOL01,2021-07-17,11:28:00,11:32:00,Net,1,0,1,0,0,3,0
MOL01,2021-07-17,11:33:00,11:38:00,Hand,1,0,1,0,0,3,0
MOL01,2021-07-17,12:03:00,12:07:00,Net,2,0,1,0,0,3,0
MOL01,2021-09-15,10:38:00,10:43:00,Net,1,2,4,0,2,4,0
MOL01,2021-09-15,10:43:00,10:46:00,Hand,1,2,4,0,2,4,0
MOL01,2021-10-02,11:14:00,11:17:00,Hand,1,1,6,0,1,6,0
MOL02,2021-07-03,11:27:00,11:32:00,Net,1,6,3,0,6,3,0
MOL02,2021-07-17,12:20:00,12:25:00,Net,1,0,3,0,0,3,0
MOL02,2021-07-17,12:26:00,12:30:00,Hand,1,0,3,0,0,3,0
MOL02,2021-07-17,12:47:00,12:50:00,Net,2,0,3,0,0,3,0
MOL02,2021-09-15,11:00:00,11:05:00,Net,1,3,3,0,3,3,0
MOL02,2021-09-15,11:05:00,11:09:00,Hand,1,3,3,0,3,3,0
MOL02,2021-09-15,11:20:00,11:24:00,Net,2,3,3,0,3,3,0
MOL02,2021-10-02,11:28:00,11:31:00,Net,1,1,4,0,1,4,0
MOL02,2021-10-02,11:31:00,11:34:00,Hand,1,1,4,0,1,4,0
MOL02,2021-10-02,11:35:00,11:38:00,Net,2,1,4,0,1,4,0
MOL03,2021-07-03,12:19:00,12:23:00,Net,1,5,2,0,5,2,0
MOL03,2021-07-17,13:43:00,13:47:00,Net,1,0,3,0,0,3,0
MOL03,2021-07-17,13:48:00,13:53:00,Hand,1,0,3,0,0,3,0
MOL03,2021-07-17,14:16:00,14:19:00,Net,2,0,3,0,0,3,0
MOL03,2021-09-15,11:45:00,11:50:00,Net,1,3,3,0,3,1,0
MOL03,2021-09-15,11:51:00,11:55:00,Hand,1,3,1,0,3,3,0
MOL03,2021-09-15,12:08:00,12:11:00,Net,2,3,3,0,3,1,0
MOL03,2021-10-02,11:58:00,12:00:00,Net,1,1,3,0,1,3,0
MOL03,2021-10-02,12:01:00,12:06:00,Hand,1,1,3,0,1,3,0
MOL03,2021-10-02,12:06:00,12:09:00,Net,2,1,3,0,1,3,0
MOL04,2021-07-03,12:43:00,12:48:00,Net,1,5,0,0,5,2,0
MOL04,2021-07-17,14:40:00,14:45:00,Net,1,0,3,0,0,3,0
MOL04,2021-07-17,14:46:00,14:54:00,Hand,1,0,3,0,0,3,0
MOL04,2021-07-17,15:17:00,15:21:00,Net,2,0,3,0,0,3,0
MOL04,2021-09-15,12:44:00,12:48:00,Net,1,5,3,0,5,3,0
MOL04,2021-09-15,12:48:00,12:54:00,Hand,1,5,3,0,5,3,0
MOL04,2021-09-15,13:03:00,13:07:00,Net,2,5,3,0,5,3,0
MOL04,2021-10-02,12:59:00,13:03:00,Net,1,2,1,0,2,1,0
MOL04,2021-10-02,13:06:00,13:13:00,Hand,1,3,2,0,3,2,0
MOL04,2021-10-02,13:16:00,13:20:00,Net,2,3,2,0,3,2,0
MOL05,2021-07-03,13:17:00,13:21:00,Net,1,4,3,0,4,3,0
MOL05,2021-07-17,15:42:00,15:46:00,Net,1,0,4,0,0,4,0
MOL05,2021-07-17,15:48:00,15:52:00,Hand,1,0,4,0,0,4,0
MOL05,2021-07-17,16:16:00,16:19:00,Net,2,0,4,0,0,4,0
MOL05,2021-09-15,13:26:00,13:30:00,Net,1,6,3,0,6,2,0
MOL05,2021-09-15,13:30:00,13:33:00,Hand,1,6,2,0,6,2,0
MOL05,2021-09-15,13:46:00,13:50:00,Net,2,6,2,0,6,2,0
MOL05,2021-10-02,13:38:00,13:41:00,Net,1,3,3,0,3,3,0
MOL05,2021-10-02,13:41:00,13:47:00,Hand,1,4,2,0,4,2,0
MOL05,2021-10-02,13:48:00,13:51:00,Net,2,4,2,0,4,2,0
MOL06,2021-07-03,13:44:00,13:49:00,Net,1,4,3,0,4,0,0
MOL06,2021-07-17,16:39:00,16:44:00,Net,1,0,4,0,0,4,0
MOL06,2021-07-17,16:49:00,16:55:00,Hand,1,0,4,0,0,4,0
MOL06,2021-07-17,17:20:00,17:25:00,Net,2,0,4,0,0,4,0
MOL06,2021-09-15,14:09:00,14:13:00,Net,1,5,1,0,5,1,0
MOL06,2021-09-15,14:15:00,14:22:00,Hand,1,5,3,0,5,3,0
MOL06,2021-09-15,14:38:00,14:43:00,Net,2,7,2,0,7,2,0
MOL06,2021-10-02,14:16:00,14:21:00,Net,1,5,1,0,5,1,0
MOL06,2021-10-02,14:23:00,14:30:00,Hand,1,5,1,0,5,1,0
MOL06,2021-10-02,14:31:00,14:35:00,Net,2,5,1,0,5,1,0
MOL08,2021-07-03,14:33:00,14:37:00,Net,1,1,3,0,1,1,0
MOL08,2021-07-17,17:50:00,17:54:00,Net,1,0,3,0,0,3,0
MOL08,2021-07-17,17:57:00,18:03:00,Hand,1,0,3,0,0,3,0
MOL08,2021-09-15,15:14:00,15:20:00,Net,1,6,2,0,5,1,0
MOL08,2021-09-15,15:23:00,15:31:00,Hand,1,6,1,0,6,1,1
MOL08,2021-10-02,15:07:00,15:11:00,Net,1,5,1,0,5,1,0
MOL08,2021-10-02,15:11:00,15:15:00,Hand,1,5,1,0,5,1,0
MOL09,2021-07-03,14:53:00,14:57:00,Net,1,1,1,0,1,1,0
MOL09,2021-07-17,18:25:00,18:30:00,Net,1,0,3,0,0,3,0
MOL09,2021-07-17,18:34:00,18:40:00,Hand,1,0,3,0,0,3,0
MOL09,2021-09-15,15:47:00,15:52:00,Net,1,5,2,0,5,1,0
MOL09,2021-09-15,15:52:00,16:01:00,Hand,1,5,0,0,5,2,0
MOL09,2021-10-02,15:34:00,15:36:00,Net,1,6,2,0,6,2,0
MOL09,2021-10-02,15:38:00,15:40:00,Hand,1,6,2,0,6,2,0
TAV01,2021-06-30,11:14:00,11:18:00,Net,1,1,4,0,1,4,0
TAV01,2021-07-18,11:15:00,11:20:00,Net,1,0,2,0,0,2,0
TAV01,2021-07-18,11:21:00,11:26:00,Hand,1,0,3,0,0,3,0
TAV01,2021-07-18,11:31:00,11:35:00,Net,2,0,3,0,0,3,0
TAV01,2021-09-17,10:33:00,10:37:00,Net,1,2,4,0,2,4,0
TAV01,2021-09-17,10:37:00,10:42:00,Hand,1,2,4,0,2,4,0
TAV01,2021-09-17,10:55:00,11:00:00,Net,2,2,4,0,2,4,0
TAV03,2021-06-18,13:23:00,13:30:00,Net,1,1,4,0,1,4,0
TAV03,2021-06-30,12:45:00,21:48:00,Net,1,4,3,0,4,3,0
TAV03,2021-07-18,12:25:00,12:29:00,Net,1,0,4,0,0,3,0
TAV03,2021-07-18,12:31:00,12:35:00,Hand,1,0,3,0,1,3,0
TAV03,2021-07-18,12:41:00,12:46:00,Net,2,1,3,0,1,3,0
TAV03,2021-09-17,12:01:00,12:05:00,Net,1,1,2,0,1,2,0
