site_name,date_cest,plot_distance_from_start_m,percentage_vegetation_cover,percentage_bare_ground,percentage_rock,height_75percent_cm,max_height_cm,density_01,density_02,density_03,density_04,density_05
TAV01,2021-09-17,10,70,10,20,3,10,0,4,7,1,8
TAV01,2021-09-17,43,70,15,15,2,7,2,10,4,3,0
TAV01,2021-09-17,80,95,0,5,4,15,3,11,11,3,11
TAV03,2021-09-17,12,50,5,45,4,20,2,0,0,11,0
TAV03,2021-09-17,24,60,0,40,3,17,10,0,3,7,6
TAV03,2021-09-17,29,70,20,10,2,25,6,0,0,9,7
TAV05,2021-09-17,13,80,0,20,3,40,11,7,7,7,0
TAV05,2021-09-17,49,85,5,10,6,30,16,5,8,21,19
TAV05,2021-09-17,89,65,10,25,7,30,0,1,5,12,0
TAV06,2021-09-17,14,90,10,0,26,45,70,5,18,8,2
TAV06,2021-09-17,47,50,40,10,15,35,8,19,7,17,0
TAV06,2021-09-17,83,90,10,0,25,48,10,11,14,25,2
TAV07,2021-09-17,15,70,30,0,3,6,5,3,5,0,1
TAV07,2021-09-17,24,85,10,5,2,4,4,2,5,12,1
TAV07,2021-09-17,37,85,10,5,2,4,1,3,6,6,1
TOR03,2021-09-18,10,100,0,0,2,7,8,11,8,7,7
TOR03,2021-09-18,38,100,0,0,2,15,3,5,8,6,6
TOR03,2021-09-18,54,100,0,0,2,10,5,5,5,4,4
TOR04,2021-09-19,11,100,0,0,2,25,5,6,10,10,9
TOR04,2021-09-19,58,100,0,0,2,10,9,11,9,7,13
TOR04,2021-09-19,70,95,5,0,4,35,5,8,22,0,8
TOR05,2021-09-19,13,90,10,0,4,30,16,12,10,8,13
TOR05,2021-09-19,28,100,0,0,3,50,10,18,9,16,10
TOR05,2021-09-19,48,70,30,0,4,30,14,9,1,20,18
TOR06,2021-09-19,14,100,0,0,3,40,20,16,15,25,18
TOR06,2021-09-19,32,95,0,5,2,5,14,14,14,10,12
TOR06,2021-09-19,54,100,0,0,3,30,9,14,8,4,12
TOR09,2021-09-19,13,70,30,0,40,70,11,3,6,14,1
TOR09,2021-09-19,59,60,40,0,30,60,14,10,8,0,17
TOR09,2021-09-19,62,90,10,0,30,60,11,36,16,6,35
TOR02,2021-09-19,14,50,25,25,25,70,7,4,7,19,4
TOR02,2021-09-19,37,60,20,20,35,100,12,0,3,10,17
TOR02,2021-09-19,64,80,20,0,30,100,9,4,5,12,15
TOR08,2021-09-19,13,100,0,0,2,5,2,2,5,3,4
TOR08,2021-09-19,20,100,0,0,2,10,3,1,6,8,7
TOR08,2021-09-19,30,90,10,0,8,30,4,6,6,8,6
MOL08,2021-10-02,15,95,5,0,2,20,6,9,7,9,4
MOL08,2021-10-02,22,80,20,0,3,40,5,0,9,6,3
MOL08,2021-10-02,33,95,5,0,3,30,10,6,8,5,6
TAV09,2021-07-18,16,100,0,0,15,55,8,12,5,2,8
TAV09,2021-07-18,71,95,5,0,25,75,4,7,11,4,8
TAV09,2021-07-18,88,95,5,0,40,60,8,13,4,17,13
TAV08,2021-07-18,17,100,0,0,5,35,4,2,3,0,1
TAV08,2021-07-18,67,100,0,0,10,35,12,6,5,5,9
TAV08,2021-07-18,84,60,40,0,10,50,9,4,0,9,3
TOR03,2021-07-19,11,95,5,0,2,8,8,7,4,9,6
TOR03,2021-07-19,59,98,0,2,3,20,6,6,3,5,5
TOR03,2021-07-19,70,100,0,0,2,20,6,6,4,4,4
TOR04,2021-07-19,13,100,0,0,2,30,3,6,2,5,5
TOR04,2021-07-19,26,85,15,0,4,50,5,7,7,18,7
TOR04,2021-07-19,39,80,15,5,5,40,7,4,5,0,6
TOR05,2021-07-19,15,60,40,0,2,30,4,1,2,5,2
TOR05,2021-07-19,16,70,30,0,3,40,6,6,4,3,4
TOR05,2021-07-19,31,100,0,0,3,45,9,10,6,8,10
TOR06,2021-07-19,15,95,5,0,2,45,3,5,10,8,3
TOR06,2021-07-19,69,100,0,0,5,40,4,4,15,5,3
TOR06,2021-07-19,84,90,10,0,10,40,6,11,4,8,7
BES01,2021-07-20,8,90,10,0,7,30,17,10,5,6,2
BES01,2021-07-20,53,90,0,10,10,30,4,2,2,4,3
BES01,2021-07-20,61,90,5,5,5,20,3,0,3,6,2
BES02,2021-07-20,9,30,50,20,1,40,0,2,1,0,0
BES02,2021-07-20,48,95,5,0,4,40,0,0,5,5,7
BES02,2021-07-20,57,80,15,5,4,35,1,2,1,0,4
MOL09,2021-09-15,15,95,5,0,2,40,3,4,3,5,5
MOL09,2021-09-15,62,95,0,5,2,40,2,4,4,6,3
MOL09,2021-09-15,77,90,5,5,2,40,4,11,6,3,3
TAV08,2021-09-16,9,90,10,0,5,40,4,4,5,2,5
TAV08,2021-09-16,53,100,0,0,8,40,5,2,2,11,6
TAV08,2021-09-16,62,100,0,0,10,45,5,5,10,13,10
TAV09,2021-09-16,10,100,0,0,30,70,13,13,15,15,9
TAV09,2021-09-16,42,100,0,0,15,70,15,9,18,26,33
TAV09,2021-09-16,83,100,0,0,40,60,34,19,24,8,25
BES01,2021-09-14,9,80,18,2,3,30,1,2,1,1,3
BES01,2021-09-14,14,90,5,5,5,30,3,0,2,5,3
BES01,2021-09-14,23,70,25,5,4,25,1,5,1,4,4
BES02,2021-09-14,9,50,35,15,2,35,3,0,1,4,2
BES02,2021-09-14,53,95,0,5,2,30,1,1,3,2,2
BES02,2021-09-14,62,90,5,5,4,40,3,1,2,1,3
BOR02,2021-09-14,11,100,0,0,7,30,4,5,6,12,7
BOR02,2021-09-14,31,100,0,0,7,15,3,5,4,5,5
BOR02,2021-09-14,59,100,0,0,15,35,10,10,3,9,9
TOR10,2021-09-14,13,100,0,0,3,50,4,5,6,4,6
TOR10,2021-09-14,17,100,0,0,10,50,3,5,7,19,7
TOR10,2021-09-14,24,100,0,0,4,50,3,6,4,6,5
TOR01,2021-09-14,13,100,0,0,30,90,6,2,7,6,7
TOR01,2021-09-14,71,100,0,0,40,70,6,7,8,12,7
TOR01,2021-09-14,76,95,5,0,40,60,23,7,9,14,15
MOL01,2021-09-15,10,60,0,40,2,10,2,4,3,1,1
MOL01,2021-09-15,48,60,20,20,1,10,4,7,0,1,0
